run_id,benchmark_id,result_type,result_file,geometry_id,source_normalization_id,source_proton_MeV,shield_thickness_cm,off_axis_positions_cm,execution_mode,stochastic_transport,minimum_histories,phase1_required,scoring_location_requirement,detector_response_model,dose_conversion_standard
N001_JAERI_TIARA_43MEV__FUJI_REM__T000,N001_JAERI_TIARA_43MEV,fuji_rem_counter_response,N001_geant4_fuji_rem_counter_response.csv,JAERI_43MEV_REM_T000_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,0.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N001_JAERI_TIARA_43MEV__FUJI_REM__T025,N001_JAERI_TIARA_43MEV,fuji_rem_counter_response,N001_geant4_fuji_rem_counter_response.csv,JAERI_43MEV_REM_T025_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,25.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N001_JAERI_TIARA_43MEV__FUJI_REM__T050,N001_JAERI_TIARA_43MEV,fuji_rem_counter_response,N001_geant4_fuji_rem_counter_response.csv,JAERI_43MEV_REM_T050_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,50.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N001_JAERI_TIARA_43MEV__FUJI_REM__T100,N001_JAERI_TIARA_43MEV,fuji_rem_counter_response,N001_geant4_fuji_rem_counter_response.csv,JAERI_43MEV_REM_T100_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,100.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N001_JAERI_TIARA_43MEV__FUJI_REM__T150,N001_JAERI_TIARA_43MEV,fuji_rem_counter_response,N001_geant4_fuji_rem_counter_response.csv,JAERI_43MEV_REM_T150_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,150.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T025_FE080,N002_JAERI_TIARA_68MEV,neutron_transmission,N002_geant4_bc501a_transmission.csv,JAERI_68MEV_BC501A_T025_FE080,JAERI_68MEV_PEAK_4.77E9_N_SR_UC,68.0,25.0,"0,20,40",stochastic_transport,True,1000000,True,"SINBAD-faithful BC501A flux estimator: 12.7-cm-diameter x 12.7-cm-long explicit BC501A liquid-scintillator cylindrical tally immediately downstream of the concrete; scalar fluence from track length divided by detector volume, binned per unit lethargy.",NOT_MODELED_UNFOLDED_FLUENCE_TARGET,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T050_FE080,N002_JAERI_TIARA_68MEV,neutron_transmission,N002_geant4_bc501a_transmission.csv,JAERI_68MEV_BC501A_T050_FE080,JAERI_68MEV_PEAK_4.77E9_N_SR_UC,68.0,50.0,"0,20,40",stochastic_transport,True,1000000,True,"SINBAD-faithful BC501A flux estimator: 12.7-cm-diameter x 12.7-cm-long explicit BC501A liquid-scintillator cylindrical tally immediately downstream of the concrete; scalar fluence from track length divided by detector volume, binned per unit lethargy.",NOT_MODELED_UNFOLDED_FLUENCE_TARGET,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T100_FE000,N002_JAERI_TIARA_68MEV,neutron_transmission,N002_geant4_bc501a_transmission.csv,JAERI_68MEV_BC501A_T100_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,100.0,0,stochastic_transport,True,1000000,True,"SINBAD-faithful BC501A flux estimator: 12.7-cm-diameter x 12.7-cm-long explicit BC501A liquid-scintillator cylindrical tally immediately downstream of the concrete; scalar fluence from track length divided by detector volume, binned per unit lethargy.",NOT_MODELED_UNFOLDED_FLUENCE_TARGET,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T150_FE000,N002_JAERI_TIARA_68MEV,neutron_transmission,N002_geant4_bc501a_transmission.csv,JAERI_68MEV_BC501A_T150_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,150.0,0,stochastic_transport,True,10000000,True,"SINBAD-faithful BC501A flux estimator: 12.7-cm-diameter x 12.7-cm-long explicit BC501A liquid-scintillator cylindrical tally immediately downstream of the concrete; scalar fluence from track length divided by detector volume, binned per unit lethargy.",NOT_MODELED_UNFOLDED_FLUENCE_TARGET,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T200_FE000,N002_JAERI_TIARA_68MEV,neutron_transmission,N002_geant4_bc501a_transmission.csv,JAERI_68MEV_BC501A_T200_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,200.0,0,stochastic_transport,True,100000000,True,"SINBAD-faithful BC501A flux estimator: 12.7-cm-diameter x 12.7-cm-long explicit BC501A liquid-scintillator cylindrical tally immediately downstream of the concrete; scalar fluence from track length divided by detector volume, binned per unit lethargy.",NOT_MODELED_UNFOLDED_FLUENCE_TARGET,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__ICRP21__T000,N002_JAERI_TIARA_68MEV,icrp21_dose_equivalent,N002_geant4_icrp21_dose_equivalent.csv,JAERI_68MEV_REM_T000_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,0.0,0,stochastic_transport,True,1000000,True,Score sufficiently resolved neutron fluence spectrum for ICRP Publication 21 fluence-to-dose-equivalent conversion in the no-extra-iron geometry represented by the Table 25 reference.,NOT_APPLICABLE_FLUENCE_CONVERSION,ICRP Publication 21
N002_JAERI_TIARA_68MEV__ICRP21__T100,N002_JAERI_TIARA_68MEV,icrp21_dose_equivalent,N002_geant4_icrp21_dose_equivalent.csv,JAERI_68MEV_REM_T100_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,100.0,0,stochastic_transport,True,1000000,True,Score sufficiently resolved neutron fluence spectrum for ICRP Publication 21 fluence-to-dose-equivalent conversion in the no-extra-iron geometry represented by the Table 25 reference.,NOT_APPLICABLE_FLUENCE_CONVERSION,ICRP Publication 21
N002_JAERI_TIARA_68MEV__ICRP21__T150,N002_JAERI_TIARA_68MEV,icrp21_dose_equivalent,N002_geant4_icrp21_dose_equivalent.csv,JAERI_68MEV_REM_T150_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,150.0,0,stochastic_transport,True,1000000,True,Score sufficiently resolved neutron fluence spectrum for ICRP Publication 21 fluence-to-dose-equivalent conversion in the no-extra-iron geometry represented by the Table 25 reference.,NOT_APPLICABLE_FLUENCE_CONVERSION,ICRP Publication 21
N002_JAERI_TIARA_68MEV__FUJI_REM__T000,N002_JAERI_TIARA_68MEV,fuji_rem_counter_response,N002_geant4_fuji_rem_counter_response.csv,JAERI_68MEV_REM_T000_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,0.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__FUJI_REM__T025,N002_JAERI_TIARA_68MEV,fuji_rem_counter_response,N002_geant4_fuji_rem_counter_response.csv,JAERI_68MEV_REM_T025_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,25.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__FUJI_REM__T050,N002_JAERI_TIARA_68MEV,fuji_rem_counter_response,N002_geant4_fuji_rem_counter_response.csv,JAERI_68MEV_REM_T050_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,50.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__FUJI_REM__T100,N002_JAERI_TIARA_68MEV,fuji_rem_counter_response,N002_geant4_fuji_rem_counter_response.csv,JAERI_68MEV_REM_T100_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,100.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__FUJI_REM__T150,N002_JAERI_TIARA_68MEV,fuji_rem_counter_response,N002_geant4_fuji_rem_counter_response.csv,JAERI_68MEV_REM_T150_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,150.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
N002_JAERI_TIARA_68MEV__FUJI_REM__T200,N002_JAERI_TIARA_68MEV,fuji_rem_counter_response,N002_geant4_fuji_rem_counter_response.csv,JAERI_68MEV_REM_T200_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,200.0,0,stochastic_transport,True,1000000,False,Direct Table 24 comparison requires an explicit Fuji rem-counter response model.,FUJI_REM_COUNTER_RESPONSE_MODEL_REQUIRED,NOT_APPLICABLE
NORM_43MEV_FE000,N001_JAERI_TIARA_43MEV,source_normalization_probe,source_normalization_validation.csv,JAERI_43MEV_SOURCE_NORM_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,0.0,0,stochastic_transport,True,1000000,True,Score peak-range neutron fluence at concrete entrance after the published additional-iron collimator geometry.,NOT_APPLICABLE_ENTRANCE_FLUENCE,NOT_APPLICABLE
NORM_43MEV_FE040,N001_JAERI_TIARA_43MEV,source_normalization_probe,source_normalization_validation.csv,JAERI_43MEV_SOURCE_NORM_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,43.0,0.0,0,stochastic_transport,True,1000000,True,Score peak-range neutron fluence at concrete entrance after the published additional-iron collimator geometry.,NOT_APPLICABLE_ENTRANCE_FLUENCE,NOT_APPLICABLE
NORM_68MEV_FE000,N002_JAERI_TIARA_68MEV,source_normalization_probe,source_normalization_validation.csv,JAERI_68MEV_SOURCE_NORM_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,68.0,0.0,0,stochastic_transport,True,1000000,True,Score peak-range neutron fluence at concrete entrance after the published additional-iron collimator geometry.,NOT_APPLICABLE_ENTRANCE_FLUENCE,NOT_APPLICABLE
NORM_68MEV_FE080,N002_JAERI_TIARA_68MEV,source_normalization_probe,source_normalization_validation.csv,JAERI_68MEV_SOURCE_NORM_FE080,JAERI_68MEV_PEAK_4.77E9_N_SR_UC,68.0,0.0,0,stochastic_transport,True,1000000,True,Score peak-range neutron fluence at concrete entrance after the published additional-iron collimator geometry.,NOT_APPLICABLE_ENTRANCE_FLUENCE,NOT_APPLICABLE
CTRL_JAERI43_T000,CTRL_JAERI43_FIXED_GEOMETRY,controlled_sweep,controlled_neutron_thickness_sweep.csv,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,0.0,0,stochastic_transport,True,1000000,True,"Fixed scorer: circular radius 6.35 cm, front plane 0.05 cm behind downstream concrete face; only thickness changes.",PASSIVE_FLUENCE_SCORER,NOT_APPLICABLE
CTRL_JAERI43_T025,CTRL_JAERI43_FIXED_GEOMETRY,controlled_sweep,controlled_neutron_thickness_sweep.csv,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,25.0,0,stochastic_transport,True,1000000,True,"Fixed scorer: circular radius 6.35 cm, front plane 0.05 cm behind downstream concrete face; only thickness changes.",PASSIVE_FLUENCE_SCORER,NOT_APPLICABLE
CTRL_JAERI43_T050,CTRL_JAERI43_FIXED_GEOMETRY,controlled_sweep,controlled_neutron_thickness_sweep.csv,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,50.0,0,stochastic_transport,True,1000000,True,"Fixed scorer: circular radius 6.35 cm, front plane 0.05 cm behind downstream concrete face; only thickness changes.",PASSIVE_FLUENCE_SCORER,NOT_APPLICABLE
CTRL_JAERI43_T075,CTRL_JAERI43_FIXED_GEOMETRY,controlled_sweep,controlled_neutron_thickness_sweep.csv,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,75.0,0,stochastic_transport,True,1000000,True,"Fixed scorer: circular radius 6.35 cm, front plane 0.05 cm behind downstream concrete face; only thickness changes.",PASSIVE_FLUENCE_SCORER,NOT_APPLICABLE
CTRL_JAERI43_T100,CTRL_JAERI43_FIXED_GEOMETRY,controlled_sweep,controlled_neutron_thickness_sweep.csv,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,100.0,0,stochastic_transport,True,1000000,True,"Fixed scorer: circular radius 6.35 cm, front plane 0.05 cm behind downstream concrete face; only thickness changes.",PASSIVE_FLUENCE_SCORER,NOT_APPLICABLE
CTRL_JAERI43_T125,CTRL_JAERI43_FIXED_GEOMETRY,controlled_sweep,controlled_neutron_thickness_sweep.csv,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,125.0,0,stochastic_transport,True,1000000,True,"Fixed scorer: circular radius 6.35 cm, front plane 0.05 cm behind downstream concrete face; only thickness changes.",PASSIVE_FLUENCE_SCORER,NOT_APPLICABLE
CTRL_JAERI43_T150,CTRL_JAERI43_FIXED_GEOMETRY,controlled_sweep,controlled_neutron_thickness_sweep.csv,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,150.0,0,stochastic_transport,True,1000000,True,"Fixed scorer: circular radius 6.35 cm, front plane 0.05 cm behind downstream concrete face; only thickness changes.",PASSIVE_FLUENCE_SCORER,NOT_APPLICABLE
CTRL_JAERI43_T175,CTRL_JAERI43_FIXED_GEOMETRY,controlled_sweep,controlled_neutron_thickness_sweep.csv,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,175.0,0,stochastic_transport,True,1000000,True,"Fixed scorer: circular radius 6.35 cm, front plane 0.05 cm behind downstream concrete face; only thickness changes.",PASSIVE_FLUENCE_SCORER,NOT_APPLICABLE
CTRL_JAERI43_T200,CTRL_JAERI43_FIXED_GEOMETRY,controlled_sweep,controlled_neutron_thickness_sweep.csv,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,200.0,0,stochastic_transport,True,1000000,True,"Fixed scorer: circular radius 6.35 cm, front plane 0.05 cm behind downstream concrete face; only thickness changes.",PASSIVE_FLUENCE_SCORER,NOT_APPLICABLE
